Data,positiviMolecolariInItalia,positiviMolecolariInVeneto,ingressiTerapiaIntensivaInItalia,ingressiTerapiaIntensivaInVeneto,ingressiOrdinariInItalia,ingressiOrdinariInVeneto,decedutiInItalia,decedutiInVenetoPopolosoQuantoItalia,letalitaItaliana,letalitaVeneta
19-12-2020,9.256179583960042,16.999201915403034,-35,0.0,-404,-1112.3647188957548,553,1393.5118456496268,3.5316856914796735,2.5261201385564225
20-12-2020,10.991122107407946,28.65289194993705,-41,0.0,-212,378.9374317117406,352,635.6369822261455,3.522400591853818,2.50503634930367
21-12-2020,12.370148710305044,25.64280750521195,-12,73.3427287184014,16,-554.2599086242972,415,574.5180416274777,3.524037526463122,2.4969704700554884
22-12-2020,8.444881265654228,18.882489890944736,-44,48.89515247893427,-229,-267.6417047517517,628,1833.568217960035,3.532065319085452,2.5297859722896114
23-12-2020,7.898229125875647,16.301655902491138,-63,12.223788119733568,-421,-283.8826653132088,553,1417.9594218890938,3.5351668626881834,2.543539356923145
24-12-2020,9.309670394319243,16.7452212621105,-35,12.223788119733568,-448,-503.910851468413,505,1369.0642694101596,3.5285621930237987,2.5498080789617985
25-12-2020,12.49688185172056,36.36759581881533,-5,-61.11894059866784,-638,99.24420963481849,459,1149.0360832549554,3.518074261198982,2.5354356196122527
26-12-2020,12.788730322200971,14.238148984198645,-4,110.01409307760211,-89,-1149.2083540495184,268,403.38500795120774,3.5132233298001796,2.5223858584581675
27-12-2020,14.885018119875081,25.96685082872928,0,61.11894059866784,263,-233.70587895188774,298,635.6369822261455,3.5124842750095717,2.509017170021442
28-12-2020,12.499817999155516,25.652374366067313,-15,-61.11894059866784,346,1541.6512077633795,445,843.4413802616161,3.51946746474332,2.5086881865310517
29-12-2020,8.718347056082026,16.974617991177034,-16,134.46166931706924,-271,-1729.1974727956695,659,2334.7435308691115,3.5322592113033844,2.559236698917871
30-12-2020,9.584430181312669,16.729228528208864,-21,-97.79030495786854,-101,1500.9626709624554,575,1369.0642694101596,3.5323889505583606,2.5735220315166116
31-12-2020,12.621771574804843,19.853579848616455,27,36.6713643592007,-367,-570.5008691857541,555,1576.8686674456303,3.5193715160552137,2.5756770064007877
01-01-2021,14.100073639572383,22.250520953924518,-2,134.46166931706924,-358,-2010.3445995495415,462,1100.1409307760212,3.5043599627308657,2.562625637853719
02-01-2021,17.61246911007235,26.8949694085656,16,0.0,144,134.46166931706924,364,562.2942535077441,3.5020065841553407,2.5492180488456913
03-01-2021,13.833589061316449,24.138661395086135,14,-85.56651683813497,125,1204.856217529513,347,1075.693354536554,3.4949611356535955,2.549535557029978
04-01-2021,13.847396561229854,20.67863289894271,-4,36.6713643592007,224,-191.5634374740136,348,611.1894059866784,3.493604598558611,2.552201568856623
05-01-2021,11.382173996713691,17.7681290177061,-10,-85.56651683813497,72,813.6949976980388,649,2139.1629209533744,3.4987319050668333,2.5872186658867
06-01-2021,11.383793590002016,17.01112877583466,2,-220.02818615520422,-209,1467.1991159571544,548,1540.1973030864297,3.4913224444752253,2.5988638646866495
07-01-2021,14.858792001649144,20.854839645073362,16,195.58060991573709,131,-2415.1835121776994,414,525.6228891485434,3.4810105203613286,2.580670750835644
08-01-2021,12.499732652726586,19.117481096941656,0,-24.447576239467136,6,-275.67604963519864,620,1295.7215406917583,3.481449043518672,2.5872847936904875
09-01-2021,11.607085795292791,14.918908513402956,6,-97.79030495786854,-47,987.5635699336455,483,1002.3506258181526,3.4720395275893257,2.5879169470683783
10-01-2021,13.32803846649208,14.856711915535445,22,73.3427287184014,183,-273.11278187042507,361,537.846677268277,3.459490944616078,2.5836929080444495
11-01-2021,13.672863751418348,15.589491864375965,27,36.6713643592007,181,-448.2629879884185,448,464.5039485498756,3.4601255296478275,2.5814995429282486
12-01-2021,10.054998199673824,13.44929728367051,-6,12.223788119733568,76,33.935825799864006,616,2029.1488278757722,3.4654748502450654,2.619766418824504
13-01-2021,8.991671844449892,9.88301946178461,-57,-281.14712675387204,-238,2605.465315769326,507,1112.3647188957548,3.4637668410494706,2.634041663381542
14-01-2021,10.739483762493384,13.92914653784219,-22,-97.79030495786854,-380,-173.6963014410435,522,1234.6026000930904,3.4605455940835834,2.649806838101397
15-01-2021,9.69632358104528,5.64301030280843,-35,-12.223788119733568,-282,-608.4538674273417,477,904.560320860284,3.4570738340851115,2.665206155849617
16-01-2021,9.46272131348404,10.277037826318594,-2,134.46166931706924,-24,-2352.6106669020814,475,892.3365327405504,3.4533229367767495,2.6724797256092425
17-01-2021,9.351103848051308,12.526306157928447,-17,0.0,-42,-293.3709148736056,377,562.2942535077441,3.450963495637005,2.6756368807265605
18-01-2021,9.830710511536214,11.841480778357855,41,-24.447576239467136,185,-459.0328714312021,377,574.5180416274777,3.4539948504289777,2.682421365778654
19-01-2021,7.017608650692823,6.858740055901957,-57,-220.02818615520422,-283,1626.1083615136909,603,1980.253675396838,3.4640118837056435,2.727845212193505
20-01-2021,7.64323028175045,7.93715687419694,-26,-36.6713643592007,-199,-419.62596851266477,524,843.4413802616161,3.4662487997925577,2.73843561558414
21-01-2021,8.07125753294799,6.699619263910226,-43,-122.23788119733568,-441,88.47432619203488,521,1320.1691169312253,3.4676415367464495,2.765059225294143
22-01-2021,8.544878817839297,8.38935574229692,-28,-171.13303367626995,-339,1236.2287755646034,472,916.7841089800175,3.467611085675065,2.778847958588942
23-01-2021,8.165452632832503,7.635285396590067,-4,-61.11894059866784,-264,-438.6024676334585,488,1124.5885070154882,3.4686591845421018,2.799646885470781
24-01-2021,8.227706029361148,9.103894867155509,14,0.0,-76,-574.5180416274777,299,342.2660673525399,3.4644296101893413,2.8000510349294836
25-01-2021,11.934370351112845,8.117575388364301,21,-24.447576239467136,122,-153.43816843786297,420,525.6228891485434,3.4694179299111405,2.8092199369052206
26-01-2021,7.299988005277678,6.123789197176162,-49,-232.2519742749378,-139,2374.494975376775,541,1136.8122951352218,3.476409075623221,2.8326904532304726
27-01-2021,7.295440349781386,5.2917312969812675,-20,-85.56651683813497,-165,446.98135410603174,467,757.8748634234812,3.47396614433298,2.830893168292186
28-01-2021,8.186324537104534,7.34086659621169,-64,-110.01409307760211,-427,0.1722707945631824,492,635.6369822261455,3.4736933747351926,2.842447299045849
29-01-2021,8.446206364937781,7.03412512546002,-18,-110.01409307760211,-335,134.63394011163243,477,647.8607703458791,3.4739251977999817,2.8504892342727746
30-01-2021,7.7170649379534115,5.729049651763648,-52,-220.02818615520422,-333,1601.6607852742238,421,733.4272871840141,3.473113165049888,2.862496230180374
31-01-2021,8.800761785928303,5.306663945300541,-3,-61.11894059866784,47,588.1957344241612,237,110.01409307760211,3.4670932444246683,2.8608036901196408
01-02-2021,10.097556467901414,10.346191889218595,37,-36.6713643592007,204,167.11586123454646,329,476.72773666960916,3.4692109238850946,2.8686099873678823
02-02-2021,6.607068806022521,4.6927717002351494,-38,-256.6995505144049,-18,3040.050610961061,498,929.0078970997512,3.47555908952279,2.8871809929911016
03-02-2021,7.543800773755628,5.518264127380581,-69,-207.80439803547065,-277,902.1693238900737,476,696.7559228248134,3.4762500048378544,2.8995524693815797
04-02-2021,8.177475935970191,5.6751794358203975,6,0.0,-253,-904.560320860284,422,757.8748634234812,3.4742204457763513,2.910993167980028
05-02-2021,8.818659127625201,5.210493103759127,-9,-48.89515247893427,-183,84.2848829557482,377,305.5947029933392,3.469748539146956,2.9127536773911364
06-02-2021,7.996410922580386,5.711152353635904,-32,-171.13303367626995,-190,1052.8719537686,385,770.0986515432148,3.4666515307238055,2.9250173863564517
07-02-2021,8.895747878000243,5.984555984555985,-3,-61.11894059866784,-113,527.0767938254934,270,342.2660673525399,3.461587764882214,2.9292757136184018
08-02-2021,10.178956220108267,8.870383779869659,36,0.0,300,0.0,307,220.02818615520422,3.4627654405573094,2.9308681976058852
09-02-2021,7.225917558023794,7.5198455267110065,0,-73.3427287184014,-51,847.6308234979027,422,794.5462277826819,3.4648191045972254,2.9448485591815814
10-02-2021,6.989310249222143,4.34516054870105,-15,-134.46166931706924,-247,897.979880653787,336,378.9374317117406,3.4605995054466083,2.946924001041382
11-02-2021,8.122993549907225,5.037231712658782,-2,-12.223788119733568,-325,-266.18780007480177,391,378.9374317117406,3.455649412332028,2.950096239613164
12-02-2021,8.320476950030072,6.071302506177197,-31,-146.6854574368028,-235,1316.3242152840648,316,415.6087960709413,3.4495657873663106,2.953748544201629
