Data,PositiviSuTotaleTamponiInItalia,PositiviSuTotaleTamponiInVeneto
12-05-2021,2.559789270531779,1.0946068962454762
13-05-2021,2.816817988614272,1.451567879408207
14-05-2021,2.537677825250012,1.5514761285019525
15-05-2021,2.259693368534644,1.0900308259446403
16-05-2021,2.83996386487834,1.3825804841527327
17-05-2021,2.905216777101342,1.891330490871324
18-05-2021,1.6936514699616532,0.9804863981543784
19-05-2021,1.916757178266076,0.9636810881203878
20-05-2021,2.2869138812206966,0.9078796517212532
21-05-2021,1.9344267157008128,0.8755392235181338
22-05-2021,1.6458306437825143,0.6565840792390358
23-05-2021,2.2269790569203582,0.7677653986030133
24-05-2021,2.316688530996176,1.438297056285358
25-05-2021,1.276093822977605,0.4617931515204321
26-05-2021,1.50864876878626,0.7337284916844105
27-05-2021,1.6998200576307452,0.8115903145750889
28-05-2021,1.4957324807631516,0.6828774794956101
